Education	Marital_Status	Income	NumDealsPurchases	NumWebPurchases	NumCatalogPurchases	NumStorePurchases	NumWebVisitsMonth	Complain	Age	Young	Income_Group	Age_Group	TotalPurchases	WebToStoreRatio
3	1	58138.0	3	8	10	4	7	0	67	0.0	3	3	12	1.6
3	1	46344.0	2	1	1	2	5	0	70	2.0	3	3	3	0.3333333333333333
3	3	71613.0	1	8	2	10	4	0	59	0.0	4	3	18	0.7272727272727273
3	3	26646.0	2	2	0	4	6	0	40	1.0	2	2	6	0.4
5	2	58293.0	5	5	3	6	5	0	43	1.0	3	2	11	0.7142857142857143
4	3	62513.0	2	6	4	10	6	0	57	1.0	4	3	16	0.5454545454545454
3	4	55635.0	4	7	3	7	6	0	53	1.0	3	2	14	0.875
5	2	33454.0	2	4	0	4	8	0	39	1.0	2	2	8	0.8
5	3	30351.0	1	3	0	2	9	0	50	1.0	2	2	5	1.0
5	3	5648.0	1	1	0	0	20	0	74	2.0	1	3	1	1.0
3	2	51633.63813405797	1	1	0	2	7	0	41	1.0	3	2	3	0.3333333333333333
1	2	7500.0	1	2	0	3	8	0	48	0.0	1	2	5	0.5
3	4	63033.0	1	3	4	8	2	0	65	0.0	4	3	11	0.3333333333333333
4	4	59354.0	3	6	1	5	6	0	72	2.0	3	3	11	1.0
3	2	17323.0	1	1	0	3	8	0	37	0.0	1	2	4	0.25
5	1	82800.0	1	7	6	12	3	0	78	0.0	5	3	19	0.5384615384615384
3	2	41850.0	3	3	0	3	8	0	44	2.0	3	2	6	0.75
3	3	37760.0	2	4	1	6	7	0	78	0.0	2	3	10	0.5714285714285714
4	2	76995.0	2	11	4	9	5	0	75	1.0	4	3	20	1.1
2	1	33812.0	2	2	1	3	6	0	39	1.0	2	2	5	0.5
3	2	37040.0	1	4	2	5	8	0	42	0.0	2	2	9	0.6666666666666666
3	2	2447.0	15	0	28	0	1	0	45	1.0	1	2	0	0.0
5	2	58607.0	3	2	3	9	8	0	75	1.0	3	3	11	0.2
5	2	65324.0	3	6	2	9	4	0	70	1.0	4	3	15	0.6
3	3	40689.0	7	7	1	5	8	0	73	1.0	3	3	12	1.1666666666666667
3	1	18589.0	2	2	1	3	7	0	55	0.0	1	3	5	0.5
3	2	53359.0	4	5	1	4	7	0	48	2.0	3	2	9	1.0
3	1	51633.63813405797	0	27	0	0	1	0	38	1.0	3	2	27	27.0
3	2	38360.0	2	2	1	4	3	0	35	1.0	2	2	6	0.4
5	2	84618.0	1	6	9	10	2	0	59	0.0	5	3	16	0.5454545454545454
